id,city,postalcode,coord_X,coord_Y,dist,bearing,house_quality_index,house_state_index,age_since_construction,age_since_renovation,floors,basement,bedrooms,baths,living_m2,lot_m2,living_vs_neighbors,lot_vs_neighbors,viewsToPOI,view_quality,dow,month
66,Willow,10032,16739.616928395524,6053.262421887499,18689.61210819234,-8.018890512752542,5,Satisfied,53,17,1,No,4,3.75,298,470,1.132350631256138,1.102248547558697,Y,Very Disatisfied,Thu,11
2,Willow,10013,13269.28050720743,-8541.994495291106,11612.736527093954,-33.424638090805416,6,OK,12,31,3,Yes,5,2.75,180,8170,0.8204798804347346,1.4028130273918553,N,Very Disatisfied,Mon,2
52,Willow,10043,1305.6470396717923,-13942.135417874746,11817.948899319226,1.1345277692552003,5,OK,46,30,3,Yes,2,1.75,170,626,1.2752537410480407,0.9720230446914694,N,Very Disatisfied,Fri,3
79,Willow,10011,-8569.871829380707,1229.0666627918813,7961.587903751491,45.272093603398936,4,OK,2,30,3,Yes,2,2.75,208,315,0.9459710603068368,1.1339596193391426,N,Very Disatisfied,Mon,5
42,Willow,10027,7680.464011278014,9601.862837386916,18609.75212995704,-37.611178878123525,5,OK,78,55,5,Yes,4,2.5,164,820,1.2776668315776767,1.1542469667081938,N,Very Disatisfied,Mon,11
12,Willow,10014,13019.857814630575,11976.80709895887,20533.866234620884,67.07700119067897,5,OK,69,64,1,No,3,1.0,188,450,0.537350622298681,0.8219668116594114,N,Very Disatisfied,Mon,7
48,Willow,10025,-9045.014586513293,9139.001946970644,5492.386866447634,-112.74917557665468,4,Satisfied,71,95,2,No,3,1.0,157,839,0.8630002965199894,2.1110532244348423,N,Very Disatisfied,Mon,3
80,Willow,10017,9504.133597596323,4824.179650417422,27530.135499617572,-24.77863839715971,4,OK,59,61,1,No,2,2.75,96,143,0.6150300634485839,2.02788587243704,N,Very Disatisfied,Thu,3
48,Willow,10018,11774.421939316662,-1870.7757839507701,6024.270328899133,125.11188143327584,6,OK,17,30,3,No,4,2.0,133,746,1.3013492793569643,0.9177017105295833,N,Very Disatisfied,Mon,2
11,Willow,10042,-3231.1254813181467,-7002.472867363542,8664.909317934387,-83.91855561563477,5,OK,29,14,3,No,4,2.25,107,242,0.9953970842044423,0.858573809975598,N,Very Disatisfied,Mon,6
45,Willow,10034,9364.543541111221,2094.846804239227,9287.680239697336,12.833421940497452,4,OK,49,58,1,No,3,2.25,131,1467,0.865435005154624,1.3663577008351748,N,OK,Fri,1
70,Willow,10006,-1107.410522796274,6506.863780098775,9536.404718255364,-16.463479181565205,4,Very Satisfied,64,88,1,Yes,4,1.0,214,726,1.1688225383138926,1.3149855972864672,N,Very Disatisfied,Thu,5
27,Willow,10029,22171.275429932415,15740.52880937845,25829.308239275026,28.521704371582995,4,OK,57,44,1,Yes,2,1.0,147,642,1.2730793567150653,0.8411443259536056,N,OK,Tue,12
26,Willow,10038,23807.808022713965,4636.444309974233,4198.614211913586,120.895376050649,4,OK,75,54,2,No,3,1.0,112,1782,0.8032115287799015,0.3819656369460347,N,Very Disatisfied,Wed,11
91,Willow,10050,16716.31286713819,9943.84985273598,9461.310999423986,-38.258195651285675,5,Satisfied,6,22,3,Yes,4,3.0,175,188,0.8999266578340843,0.7447626218060157,N,Very Disatisfied,Mon,9
39,Willow,10052,-3975.341454554151,14242.106796353612,14868.548564706743,-91.18002387643782,4,Satisfied,78,79,1,No,1,1.5,162,1624,1.1150330882919484,1.543625499169789,N,Very Disatisfied,Tue,7
50,Willow,10035,-5401.106016945078,4584.143468613754,14429.336657229698,9.72761201981498,5,OK,4,43,5,No,2,2.0,149,211,0.8623729833538138,1.5114807676757327,N,Very Disatisfied,Thu,3
81,Willow,10031,-18620.544206694474,-8242.830760401243,18874.79956677938,-68.07788978755207,5,OK,29,24,3,No,4,2.25,226,79,0.9144770149480643,1.8159173090647291,N,Very Disatisfied,Tue,4
43,Willow,10032,17968.327501629825,10933.409299606561,19808.50877657086,74.52106159408581,3,OK,91,80,1,No,1,1.0,102,862,0.677286179251573,1.291712144004784,N,Very Disatisfied,Fri,4
24,Willow,10040,15522.88439024433,-6019.079634800187,18225.86610058391,141.96988724595016,3,Very Satisfied,55,46,1,Yes,3,0.75,108,4145,0.943027685428265,1.0689439423532892,N,Very Disatisfied,Mon,4
