id,city,postalcode,coord_X,coord_Y,dist,bearing,house_quality_index,house_state_index,age_since_construction,age_since_renovation,floors,basement,bedrooms,baths,living_m2,lot_m2,living_vs_neighbors,lot_vs_neighbors,viewsToPOI,view_quality,dow,month
75,Willow,10044,12463.208335476778,11639.261667660836,22303.7693703035,74.82517225636917,4,OK,67,66,1,No,2,2.0,137,588,0.9483837928029691,1.011181242927762,N,Very Disatisfied,Thu,9
30,Willow,10044,12463.209632791277,11639.261681896292,22303.769520999555,74.82517778670906,5,OK,20,18,3,No,3,2.0,214,588,0.9483837742844393,1.0111812500522743,N,Very Disatisfied,Thu,9
30,Willow,10015,-11983.492900989197,-4720.04128145941,13549.529381764032,-73.63621894845322,4,Very Satisfied,67,66,1,No,3,2.0,137,588,0.9483838337684544,1.0111812412078343,N,Very Disatisfied,Mon,9
30,Willow,10015,12463.209451333612,11639.261465156214,22303.76952015808,74.82517371887116,4,OK,20,18,3,No,4,2.0,214,588,1.4585459198804107,1.0111812424320186,N,Very Disatisfied,Thu,9
75,Willow,10015,12463.209586327222,-4720.040991915967,13549.530112132248,74.82516911668047,4,Satisfied,67,18,3,Yes,4,2.0,214,588,0.9483837919534941,1.0111812488666008,N,Very Disatisfied,Thu,9
30,Willow,10015,12463.208566551446,11639.261399386578,13549.530184711672,74.82517191798347,3,OK,67,66,1,No,2,2.0,137,588,0.9483837827806281,1.0111812525025492,N,Very Disatisfied,Thu,3
75,Willow,10015,-11983.493063099486,11639.261914920622,22303.76917274085,-73.63621510270434,4,OK,20,66,2,No,5,2.0,214,588,0.9483837727173834,1.0111812412834962,N,Very Disatisfied,Wed,3
75,Willow,10044,12463.208689543448,11639.261117218688,13549.529720098453,74.82518037656885,3,Very Satisfied,67,66,1,No,3,2.0,137,588,0.9483838206073176,1.0111812562861349,N,Very Disatisfied,Mon,9
30,Willow,10015,12463.208066294175,11639.260807718043,22303.769722349578,74.82517685089407,5,OK,67,66,1,No,4,2.0,137,588,0.9483838358007112,1.0111812426662325,N,Very Disatisfied,Wed,3
75,Willow,10044,12463.20831522886,11639.26113914212,13549.53051973727,74.82516743142338,4,Satisfied,67,66,2,No,3,2.0,137,588,0.9483837956690909,0.9108489882676838,N,Very Disatisfied,Mon,9
30,Willow,10044,12463.208894342866,-4720.040710737591,13549.530670652777,74.8251709152556,6,OK,67,18,3,No,4,2.0,214,588,0.948383796524698,1.0111812409124479,N,Very Disatisfied,Mon,9
30,Willow,10015,12463.207896963368,-4720.039972504396,13549.53010814873,74.82517344875596,4,OK,67,18,3,Yes,4,2.0,214,588,0.9483838233043531,1.0111812418074877,N,Very Disatisfied,Thu,3
75,Willow,10015,-11983.49267450669,-4720.041509399778,13549.530114651718,74.82517000975122,4,Satisfied,20,18,3,No,2,2.0,137,1366,0.9483837834007167,1.0111812532734747,N,Very Disatisfied,Thu,3
51,Willow,10015,12463.209272088665,11639.260707523452,22303.769560884655,74.82517486323184,4,OK,20,66,1,Yes,3,2.0,137,588,0.9483838224313674,1.0111812510832496,N,Very Disatisfied,Wed,9
75,Willow,10015,-11983.491756371097,11639.261317482951,13549.529803700736,-73.6362191455475,3,Satisfied,67,18,3,Yes,4,2.0,214,588,0.9483838237767995,0.9108489917564191,N,Very Disatisfied,Wed,3
51,Willow,10015,-11983.494089934667,-4720.040690745514,22303.76957210676,-73.63621241068435,4,Very Satisfied,20,66,1,Yes,3,2.0,137,588,0.9483838150995392,1.011181237887347,N,Very Disatisfied,Tue,3
75,Willow,10015,12463.209969523115,-4720.0396709959,13549.530909731564,74.82517704439238,4,OK,20,18,1,Yes,4,2.0,214,588,0.9483838155815639,1.0111812448589177,N,Very Disatisfied,Wed,9
30,Willow,10044,12463.20929310226,-4720.040122130281,13549.529857631427,-73.63621622673212,4,Very Satisfied,67,66,1,Yes,4,2.0,137,588,0.9483837748946288,1.011181242869166,N,Very Disatisfied,Thu,3
75,Willow,10015,12463.209052520648,-4720.040142632477,22303.76933335463,74.82517973045182,5,OK,67,66,1,Yes,4,2.0,137,2697,0.9483838014533048,1.0111812456302864,N,Very Disatisfied,Thu,3
75,Willow,10044,12463.207716548943,-4720.039620413796,13549.529322015316,74.82516892360309,4,OK,20,18,3,No,3,2.0,214,588,0.9483837698960972,1.0111812465575667,N,Very Disatisfied,Fri,3
