id,city,postalcode,coord_X,coord_Y,dist,bearing,house_quality_index,house_state_index,age_since_construction,age_since_renovation,floors,basement,bedrooms,baths,living_m2,lot_m2,living_vs_neighbors,lot_vs_neighbors,viewsToPOI,view_quality,dow,month
42,Willow,10016,8339.791534379505,-6883.129210902764,10736.74328396804,-58.32263308110844,4,OK,28,31,1,No,3,2.0,161,844,1.0892892643057015,1.0431494834160528,N,Very Disatisfied,Tue,7
26,Willow,10054,-14211.615790116193,12403.00616993622,20242.23645818291,55.016154774383494,4,OK,23,25,3,No,3,2.5,213,345,0.9918696033077693,0.8657865480573347,N,Very Disatisfied,Tue,8
65,Willow,10016,14631.470945837365,-6621.742119028917,13251.828707641936,-63.61540253821937,8,OK,27,25,4,Yes,3,2.0,229,757,0.9489054108958975,1.0184135354106074,N,Very Disatisfied,Mon,9
81,Willow,10016,6702.437889622006,-7220.505010537445,12322.9415085639,92.87973509475202,6,OK,13,12,4,Yes,3,2.5,236,434,1.0715278586212964,0.7143895713668172,N,Very Disatisfied,Wed,10
39,Willow,10048,9542.106091812866,-1630.4480204835218,12783.996755986243,-62.42403909354639,5,Very Satisfied,79,75,4,Yes,4,2.0,162,579,0.8062904563690877,0.9849838853229477,N,Very Disatisfied,Tue,9
37,Willow,10040,9649.851807919582,13465.640961657851,18645.700994629726,48.436818511932415,4,OK,80,17,3,Yes,4,1.75,241,656,1.1240025100535276,1.0595769941238253,N,Very Disatisfied,Thu,5
24,Willow,10023,-20795.49656501558,16044.034112760553,24058.749413028796,24.10389962706047,4,OK,81,81,1,No,3,1.75,124,566,0.934088778699898,0.9258854145865609,N,Very Disatisfied,Tue,8
22,Willow,10027,3191.3979763522075,5145.62868024549,23090.32691977301,40.03435705753041,4,Satisfied,83,77,1,Yes,3,1.75,133,465,0.8958176934347144,0.9678485073666867,N,Very Disatisfied,Tue,7
27,Willow,10015,12051.109334153354,3077.2500922513555,23044.368011744256,38.98631701470122,4,OK,72,72,1,No,3,1.5,144,672,0.9978266914841882,1.0057938519875154,N,Very Disatisfied,Thu,9
35,Willow,10044,14182.718897213055,11572.659691886922,22457.56958000289,52.82335460357921,4,Satisfied,77,19,3,Yes,3,2.25,164,693,1.1423684067396298,1.1123306802686554,N,Very Disatisfied,Tue,3
38,Willow,10009,13964.211184812586,-6230.897023315842,23676.520228668633,68.39597598940317,5,OK,74,78,1,No,4,1.5,219,960,1.0173572672057145,1.0658814331634625,N,Very Disatisfied,Mon,9
24,Willow,10023,-17809.695054839503,11438.995708485249,26487.17885119075,-91.1167086208673,3,OK,69,69,1,No,3,2.0,112,843,0.8779860810029895,1.0123335680545553,N,Very Disatisfied,Tue,2
70,Willow,10040,7267.120532699324,10519.541237879946,9701.34058471945,77.69915975723794,5,Satisfied,76,78,1,Yes,4,2.0,152,587,0.8817090503169105,1.025614597760306,N,Very Disatisfied,Wed,9
82,Willow,10013,15651.692363601403,-3724.465541381136,15019.792273048986,99.8049242886328,4,OK,67,76,1,No,3,1.5,114,554,0.9413833954022792,0.9785133966224644,N,Very Disatisfied,Thu,9
64,Willow,10017,6182.067645379238,-1999.5251198683654,11583.365670283109,51.99521581973651,3,OK,69,28,3,No,4,2.25,208,628,0.9507146892274104,1.0041899468934745,N,Very Disatisfied,Thu,2
20,Willow,10044,12861.908191995482,97.61756083311957,10727.689673751353,-56.651164581749114,6,OK,19,19,3,No,4,2.0,118,636,0.864729774421414,1.0031848188496768,N,Very Disatisfied,Mon,4
82,Willow,10022,11117.963479968776,11291.42545061567,13694.768820055111,101.02355636940015,6,OK,64,72,1,No,4,2.75,156,454,0.9953505082813113,1.017672495905675,N,Very Disatisfied,Mon,4
82,Willow,10017,-12211.442168881642,12798.07937475017,17698.54706142853,-99.397858508519,4,OK,23,67,1,Yes,4,2.0,235,605,0.9615534138023198,0.9257745937443854,N,Very Disatisfied,Tue,3
67,Willow,10048,18916.196865089318,10939.412045817906,16349.592795496152,65.7011600582799,3,Satisfied,69,57,3,Yes,4,1.5,192,726,0.8960471473037293,0.9919294649199645,N,Very Disatisfied,Thu,2
66,Willow,10021,10698.325746524035,-7511.984724371805,24152.34505092891,99.26910420480246,5,OK,12,13,3,No,2,2.75,213,634,1.0048228347453791,1.0330207278633106,N,Very Disatisfied,Mon,11
